id,label,page_type,facebook_id
80,Національна поліція України,government,1670000000000000    
81,Jurado Nacional de Elecciones del Perú,government,133000000000000    
82,Mike Nahan,politician,346000000000000    
83,RAF Recruitment,government,118000000000000    
84,Ansbach Housing,government,149000000000000    
85,The BCDA Group,government,236000000000000    
86,Pirkka,company,113000000000000    
87,Ambassade du Canada en Islande,government,1410000000000000    
88,"United States Embassy - Riga, Latvia",government,70710067457    
89,Michal Rozin מיכל רוזין,politician,618000000000000    
90,Stop Fraud Colorado,government,264000000000000    
91,3 Musketeers,company,219000000000    
92,EVA Airways Corp. 長榮航空,company,181000000000000    
93,Vilson Covatti,politician,389000000000000    
94,Export Gov,government,112000000000    
95,Fabiana Dadone,politician,474000000000000    
96,Noticias Univision Florida Central,tvshow,139000000000000    
97,Kevin Michel MLA,politician,698000000000000    
98,Soldier On / Sans Limites,government,212000000000000    
99,Bericht aus Berlin,tvshow,296000000000000    
100,Préfecture de police des Bouches-du-Rhône,government,2050000000000000    
101,The X Factor (USA),tvshow,105000000000000    
102,Ochsner Sport,company,144000000000000    
103,林淑芬,politician,169000000000000    
104,Ministerio de Educación de la Nación Argentina,government,1720000000000000    
105,Aviva,company,133000000000000    
106,Chad Griffith - Lake Macquarie,politician,146000000000000    
107,Red Bull MOBILE,company,151000000000000    
108,Dan Drew,politician,84890878270    
109,Bronisław Komorowski,politician,113000000000000    
110,CERT-RO,government,181000000000000    
111,Inside Amy Schumer,tvshow,446000000000000    
112,U.S. Presidential Scholars Program,government,132000000000    
113,Senator James McGrath,politician,405000000000000    
114,"Philippe Noguès, une voix de gauche",politician,166000000000000    
115,Crackets,company,161000000000000    
116,Sebastian Galmarini,politician,441000000000000    
117,RECLAME,tvshow,109000000000000    
118,Vesna Pusić,politician,19027744005    
119,Barwy Szczęścia,tvshow,110000000000000    
120,Ejército Nacional de Colombia,government,124000000000000    
121,"City of Fremont, CA Government",government,236000000000000    
122,Procuraduría General de la República,government,188000000000000    
123,USAID Pakistan,government,441000000000000    
124,Doritos,company,726000000000000    
125,Disneyland Jobs,company,503000000000000    
126,ESET,company,124000000000000    
127,GovX,company,355000000000000    
128,New York Style,company,243000000000    
129,Governor Jan Brewer,politician,173000000000    
130,USAID Eastern and Southern Caribbean,government,172000000000000    
131,Bouchon Bistro,company,441000000000000    
132,DON Smallgoods,company,428000000000000    
133,Sandia National Labs,government,135000000000000    
134,Academy Sports + Outdoors,company,368000000000    
135,AIDA,company,102000000000    
136,Canada and Iran,government,632000000000000    
137,豐原監理站,government,273000000000000    
138,Peter Kraus,politician,122000000000000    
139,Jumia,company,771000000000000    
140,SoFlo TASTE,tvshow,369000000000000    
141,White Collar,tvshow,91116022514    
142,B&G Pickles & Peppers,company,379000000000000    
143,194th Wing,government,1840000000000000    
144,Bajnai Gordon,politician,62894440884    
145,Michael Leutert,politician,178000000000000    
146,Uwe Schünemann MdL,politician,1400000000000000    
147,MOPC Paraguay,government,135000000000000    
148,New York City Law Department,government,145000000000000    
149,KLM México,company,320000000000000    
150,BP America,company,97279934919    
151,Au secours de Béatrice,tvshow,786000000000000    
152,Dragons' Den,tvshow,9885974987    
153,hessenschau,tvshow,594000000000000    
154,City of Kitchener,government,61828104655    
155,Kátia Abreu,politician,176000000000000    
156,Jakob von Weizsäcker,politician,1390000000000000    
157,US National Weather Service Blacksburg VA,government,216000000000000    
158,Mirinda Arabia,company,380000000000000    
159,JRTC and Fort Polk,government,167000000000000    
160,Department of Transport,government,443000000000000    
161,UR Orka plugga,tvshow,750000000000000    
162,Jayant Sinha,politician,232000000000000    
163,Cancelaria de Stat a Republicii Moldova,government,222000000000000    
164,Comunidad Movistar Argentina,company,234000000000    
165,German Consulate General Vancouver,government,103000000000000    
166,Turkish Presidency,government,655000000000000    
167,US Embassy Abu Dhabi,government,120000000000    
168,Matrix Professional Haircare & Color,company,173000000000000    
169,Laboratório Hacker - Câmara dos Deputados,government,718000000000000    
170,صندوق أبوظبي للمعاشات,government,633000000000000    
171,The Belgian Navy,government,651000000000000    
172,Ridestore,company,290000000000    
173,European Union in Israel,government,134000000000000    
174,Bosch Herramientas Eléctricas Profesionales y Accesorios,company,1620000000000000    
175,Deportes CNN,tvshow,114000000000000    
176,Horacio Rodríguez Larreta,politician,175000000000    
177,Ministerio de Trabajo El Salvador,government,218000000000000    
178,Clangers,tvshow,555000000000000    
179,Hoka One One,company,195000000000000    
180,Gavin Shuker MP,politician,268000000000000    
181,Peace Corps Comoros,government,174000000000000    
182,NSW SES Glen Innes,government,774000000000000    
183,Christchurch City Council,government,189000000000000    
184,KLM Russia,company,126000000000000    
185,Ghost Whisperer,tvshow,28768797221    
186,曹嘉豪,politician,433000000000000    
187,Bill Shorten MP,politician,465000000000000    
188,Black Hills VA Health Care System,government,132000000000000    
189,"Ministry of Micro, Small and Medium Enterprises,Government of India",government,196000000000000    
190,Vigor Brasil,company,261000000000000    
191,Ruth Ellen Brosseau,politician,206000000000000    
192,Philippine Embassy in Thailand,government,153000000000000    
193,Atmosphere,company,168000000000000    
194,Região da capital dos EUA,company,135000000000000    
195,Mauricio Osorio Domínguez,politician,852000000000000    
196,Préfet de Loir et Cher,government,419000000000000    
197,U.S. Forest Service,government,1430000000000000    
198,Johnnie’s New York Pizzeria,company,111000000000000    
199,7-Eleven Australia,company,133000000000000    
200,Brendan Boyle,politician,517000000000000    
201,ABC Lebanon,company,164000000000000    
202,Paolo De Castro,politician,442000000000000    
203,Benedita da Silva,politician,200000000000000    
204,Norteñita,company,256000000000000    
205,Tablespoon.com,company,79167160914    
206,UPRA Colombia,government,154000000000000    
207,"Woodstock Police, GA",government,123000000000000    
208,關務署,government,1500000000000000    
209,Ileana Argentin,politician,294000000000000    
210,Karen Ludwig,politician,796000000000000    
211,Ryszard Wilczyński,politician,889000000000000    
212,Dilma Rousseff,politician,351000000000000    
213,Tuggerah Lakes LAC - NSW Police Force,government,249000000000000    
214,Travel Alberta,company,669000000000000    
215,Museos del Banco de la República,government,164000000000    
216,Dagmar Ziegler MdB,politician,356000000000000    
217,Jeremy Corbyn,politician,330000000000    
218,Secretaría de Gobernación,government,111000000000000    
219,352d Special Operations Wing,government,1590000000000000    
220,Sharon Hodgson,politician,610000000000000    
221,Glassdoor,company,17433690754    
222,NSW SES - Hornsby Unit,government,152000000000000    
223,500 Startups,company,142000000000000    
224,Front Street Animal Shelter - City of Sacramento,government,375000000000000    
225,Lorenz Caffier,politician,232000000000000    
226,Cuarto Milenio,tvshow,148000000000000    
227,Pillsbury,company,195000000000    
228,Fort Bragg Wildlife Branch,government,146000000000000    
229,Peppe De Cristofaro,politician,419000000000000    
230,Metin Hakverdi,politician,179000000000000    
231,Kathleen Lynch,politician,179000000000000    
232,UNLV Police Services,government,955000000000000    
233,Covert Affairs,tvshow,117000000000000    
234,Councillor Adam Allan,politician,555000000000000    
235,澎湖縣政府,government,170000000000000    
236,M&M’S Italia,company,118000000000000    
237,Baci Perugina,company,28613018301    
238,European Union in Thailand,government,161000000000000    
239,Florian Toncar,politician,617000000000000    
240,Go Coast Guard,government,192000000000000    
241,Brandon Creighton,politician,65727594614    
242,Arizona Capitol Museum,government,1530000000000000    
243,"Flight Centre Travel Group, The Americas",company,781000000000000    
244,Sergio Casas,politician,331000000000000    
245,Sleep Number Careers,company,71091028689    
246,Bodo Ramelow,politician,669000000000000    
247,GO! Das Motormagazin,tvshow,160000000000000    
248,KLM Argentina,company,223000000000000    
249,"Metro Railway, Kolkata",government,293000000000000    
250,Samsung,company,147000000000000    
251,LowLow,company,113000000000000    
252,Kingdom of the Netherlands in Canada,government,116000000000000    
253,Göç İdaresi Genel Müdürlüğü,government,1640000000000000    
254,Rodriguez Army Health Clinic,government,390000000000000    
255,BoA,company,111000000000    
256,Valdis Dombrovskis,politician,985000000000000    
257,Alex Zeyer,politician,1130000000000000    
258,The Profit,tvshow,149000000000000    
259,Emine SARI Official,company,164000000000000    
260,宜蘭縣政府衛生局,government,431000000000000    
261,舞吧舞吧在一起,tvshow,471000000000000    
262,Windows,company,180000000000000    
263,Old Home Love,tvshow,1480000000000000    
264,Man v. Food Nation,tvshow,43394094549    
265,聽見幸福,tvshow,1550000000000000    
266,臺北市政府消防局,government,687000000000000    
267,Superbook,tvshow,46612109048    
268,Richard Acuña N.,politician,184000000000000    
269,Παύλος Πολάκης / Pavlos Polakis,politician,496000000000000    
270,"Troop Command Family Readiness Group, Brooke Army Medical Center",government,194000000000000    
271,Maxis,company,32533512985    
272,Ali Atalan,politician,878000000000000    
273,China Eastern Air(동방항공),company,273000000000000    
274,Fashion Queens,tvshow,571000000000000    
275,Al Jazeera America Presents,tvshow,210000000000000    
276,ASADA,government,135000000000000    
277,US National Weather Service Detroit / Pontiac Michigan,government,215000000000000    
278,Arnold Bread,company,123000000000    
279,UP&GO,company,213000000000000    
280,Digicel,company,1520000000000000    
281,صباح الخير يا عرب,tvshow,120000000000000    
282,Jersey Couture,tvshow,118000000000000    
283,Louise Schack Elholm,politician,798000000000000    
284,Goodluck Jonathan,politician,105000000000000    
285,Canada Explorez sans fin,company,197000000000    
286,Subway UK & Ireland,company,120000000000000    
287,Milk,company,106000000000    
288,Lenovo Malaysia,company,166000000000    
289,Ministero degli Affari Esteri e della Cooperazione Internazionale,government,165000000000000    
290,Marie-Claude Bibeau,politician,569000000000000    
291,Dagoberto Nogueira,politician,1470000000000000    
292,Consulado General del Perú en Frankfurt,government,595000000000000    
293,Ignazio Cassis,politician,486000000000000    
294,Azərbaycan Respublikası Müdafiə Nazirliyi,government,1090000000000000    
295,The Voice of the Philippines,tvshow,435000000000000    
296,US National Weather Service Topeka Kansas,government,206000000000000    
297,Unang Hirit,tvshow,67556672348    
298,The Secret Life of the American Teenager,tvshow,18560189277    
299,Andhra Pradesh Tourism,government,172000000000000    
300,Dunedin City Council,government,128000000000000    
301,319th MPAD,government,163000000000000    
302,Murray Rankin,politician,113000000000000    
303,Austrian Office Taipei 奧地利台北辦事處,government,213000000000000    
304,John Key,politician,12635800428    
305,Attorney-General's Department,government,946000000000000    
306,American Express,company,6185812851    
307,British Army,government,318000000000    
308,German Embassy Colombo,government,226000000000000    
309,Embassy of Belgium in Zagreb,government,461000000000000    
310,Mascotas Argentinas - Protenencia,government,363000000000000    
311,Ellen Sandell,politician,207000000000000    
312,TrueNorth,company,242000000000000    
313,Transport for NSW,government,222000000000000    
314,Antje Tillmann,politician,1250000000000000    
315,Consulat général du Canada à Atlanta,government,558000000000000    
316,Ain't That America With Lil Duval,tvshow,190000000000000    
317,Tadeu Alencar,politician,1490000000000000    
318,Just Eat UK,company,341000000000    
319,TracFone Wireless,company,131000000000    
320,Atención Primaria de la Salud en Paraguay,government,694000000000000    
321,"Rachael Harder, MP",politician,325000000000000    
322,Robert von Olberg,politician,253000000000000    
323,Oregon Department of Fish and Wildlife,government,38040830889    
324,Justis- og beredskapsdepartementet,government,389000000000000    
325,"Press Information Bureau - PIB,  Government of India",government,521000000000000    
326,Israel in Boston,government,177000000000000    
327,Ben & Jerry's,company,5987042235    
328,DiGiorno,company,214000000000    
329,USS Iwo Jima LHD 7,government,244000000000000    
330,ThinkGeek,company,6399067073    
331,Coffee-mate,company,120000000000    
332,José Luis Gioja,politician,399000000000000    
333,TomTom,company,93342532548    
334,Jürgen Coße,politician,144000000000000    
335,German Embassy Singapore,government,176000000000000    
336,Ministère de la Communication,government,188000000000000    
337,Moapa Valley National Wildlife Refuge,government,403000000000000    
338,U.S. Forest Service- Tahoe National Forest,government,1460000000000000    
339,All Hands Magazine,government,127000000000000    
340,JustFab,company,1520000000000000    
341,Préfecture de la Somme,government,781000000000000    
342,Sofie Carsten Nielsen,politician,149000000000000    
343,USAID Central Asia,government,119000000000000    
344,Dance Mums with Jennifer Ellison,tvshow,353000000000000    
345,"Ministère de l'Enseignement Supérieur, de la Recherche, et de l'Innovation",government,145000000000000    
346,Ministry of Finance (Singapore),government,168000000000000    
347,New York Power Authority,government,527000000000000    
348,Microsoft Edge,company,141000000000000    
349,Compumundo,company,194000000000000    
350,US National Weather Service Melbourne Florida,government,105000000000000    
351,American Express,company,412000000000000    
352,ABB,company,178000000000000    
353,Martín Insaurralde,politician,175000000000000    
354,"Vårt lille land, TV 2",tvshow,497000000000000    
355,Nike+ Run Club,company,126000000000000    
356,NYPD,government,262000000000000    
357,莫非，這就是愛情,tvshow,589000000000000    
358,"Ministry of Environment, Forests & Climate Change, Government of India",government,264000000000000    
359,Crocs,company,153000000000000    
360,Cristina Cifuentes,politician,179000000000000    
361,Dominique Anglade,politician,1690000000000000    
362,Dr. Jens Katzek,politician,1640000000000000    
363,ABB,company,206000000000000    
364,Loïc Hervé,politician,20597769245    
365,Betinho Gomes,politician,144000000000000    
366,Babel,tvshow,337000000000    
367,Motive,tvshow,141000000000000    
368,Missouri River Recovery Program,government,198000000000000    
369,Axel Schäfer,politician,644000000000000    
370,UAEmGov,government,109000000000000    
371,Embajada de Finlandia Chile - Suomen suurlähetystö Chile,government,130000000000000    
372,Jesper Würtzen,politician,155000000000000    
373,Sea-Doo,company,158000000000000    
374,Peace Corps Samoa,government,220000000000000    
375,USAID/Egypt,government,180000000000000    
376,Caged,tvshow,318000000000000    
377,128th Mobile Public Affairs Detachment,government,301000000000000    
378,T.C. Vilnius Büyükelçiliği / Turkish Embassy in Vilnius,government,367000000000000    
379,Tintas Coral,company,309000000000    
380,Waikato Police,government,1570000000000000    
381,Finding Carter,tvshow,269000000000000    
382,Israel in Ethiopia,government,147000000000000    
383,Bureau of Reclamation,government,62014882904    
384,CDF,company,114000000000000    
385,UNASUR,government,1520000000000000    
386,Abu Dhabi Fund for Development,government,146000000000000    
387,ITV News West Country,tvshow,139000000000000    
388,Odwalla,company,17156801635    
389,State Representative Nicole Collier,politician,487000000000000    
390,The Real Housewives of Melbourne,tvshow,410000000000000    
391,NYS Thruway Authority,government,530000000000000    
392,NSW Government,government,197000000000000    
393,Científicos Industria Argentina,tvshow,112000000000    
394,MTN Ghana,company,141000000000000    
395,NSW Maritime,government,118000000000    
396,La Voz México,tvshow,200000000000000    
397,The Chase USA,tvshow,1390000000000000    
398,"Representative Ramon Romero, Jr.",politician,372000000000000    
399,Abarth,company,353000000000000    
400,"Sylvester Turner, Mayor of Houston",government,269000000000    
401,Cheerios UK,company,309000000000000    
402,Deutsche Botschaft Ankara,government,60671132809    
403,Jean D'Amour,politician,60265923724    
404,"Embassy of Afghanistan in Rome, Italy",government,729000000000000    
405,U.S. Naval Air Forces,government,62148248732    
406,NSW SES,government,145000000000000    
407,Europees Parlement Nederland,government,271000000000    
408,Nationwide Building Society,company,240000000000000    
409,Eggland's Best Eggs,company,82491933861    
410,The Mindy Project,tvshow,407000000000000    
411,Wafacash,company,286000000000000    
412,Gabi Weber,politician,350000000000000    
413,Figen Yüksekdağ,politician,1450000000000000    
414,[N.A!] Nature Addicts,company,121000000000000    
415,Kementerian Perdagangan,government,609000000000000    
416,Canyon,company,644000000000000    
417,Ida Auken,politician,24352982198    
418,"Department of Dairy Development, Uttarakhand",government,1640000000000000    
419,Suomen Huippumalli haussa,tvshow,260000000000    
420,Disney On Ice,company,121000000000000    
421,Movistar Guatemala,company,143000000000    
422,Andrew J. Ullmann,politician,246000000000000    
423,LION Cereals,company,117000000000000    
424,House Committee on Rules - Republicans,government,209000000000000    
425,OLD BAY® Seasoning,company,92378498253    
426,U.S. Citizenship and Immigration Services,government,229000000000000    
427,Amran Hussain,politician,137000000000000    
428,BBC EastEnders: E20,tvshow,195000000000    
429,GoAir,company,640000000000000    
430,"India in Spain (Embassy of India, Madrid)",government,210000000000000    
431,97th MP BN,government,309000000000    
432,Metropolitan Development and Housing Agency,government,223000000000000    
433,Allianz France,company,101000000000000    
434,Common Law,tvshow,291000000000000    
435,Daniela Kluckert,politician,1740000000000000    
436,"U.S. Environmental Protection Agency--Region 2 (NJ, NY, PR, USVI)",government,60190688483    
437,Lidl Romania,company,186000000000000    
438,Tancredi Turco,politician,547000000000000    
439,Visit Brasil,company,133000000000    
440,Kula Segaran,politician,363000000000000    
441,在台灣的故事,tvshow,211000000000    
442,Klaus Wolframm,politician,519000000000000    
443,Priscila Krause,politician,362000000000000    
444,Mayor Matt Burnett,politician,1540000000000000    
445,Manfred Weber,politician,410000000000000    
446,Decameron Perú,company,483000000000000    
447,George P. Bush,politician,174000000000000    
448,Hervé Gaymard,politician,1460000000000000    
449,Espai Internet TV3,tvshow,243000000000    
450,Myrtle Manor Becky,tvshow,222000000000000    
451,BBC Apprentice,tvshow,105000000000000    
452,BBC EastEnders,tvshow,169000000000    
453,Henry McMaster,politician,10453255451    
454,TheHut.com,company,136000000000000    
455,Dunelm,company,199000000000000    
456,פנינה תמנו- שטה,politician,336000000000000    
457,James Lankford,politician,151000000000    
458,Smart Dubai,government,468000000000000    
459,Amber Rudd MP,politician,386000000000000    
460,Thomas Kastrup-Larsen,politician,378000000000000    
461,Polydor,company,181000000000    
462,Moments With Mandi Welbaum,company,330000000000000    
463,EL AL Israel Airlines USA,company,116000000000000    
464,CARD.com,company,113000000000000    
465,TUC,company,286000000000000    
466,Senator Gabrielle McFadden,politician,448000000000000    
467,Samsung Österreich,company,160000000000000    
468,Bhagwant Mann,politician,162000000000000    
469,Chris Murphy,politician,19437978960    
470,Anne McTaggart for Glasgow,politician,388000000000000    
471,TornadoVideos.net,company,93624730972    
472,Dell,company,97436894557    
473,Castello,company,286000000000000    
474,Meteocat. Generalitat de Catalunya.,government,184000000000000    
475,Burger King France,company,230000000000000    
476,Justyne Caruana,politician,116000000000000    
477,Nutella,company,187000000000000    
478,Préfet de la Saône-et-Loire,government,1500000000000000    
479,Senadora Lúcia Vânia,politician,128000000000000    
480,Veganz,company,124000000000000    
481,KLM Royal Dutch Airlines,company,274000000000    
482,BBC Eurovision,tvshow,312000000000    
483,Can-Am Off-Road,company,195000000000000    
484,Franco Sarto,company,113000000000000    
485,ირაკლი კობახიძე / Irakli Kobakhidze,politician,2170000000000000    
486,Gobierno Electrónico Perú - ONGEI,government,296000000000000    
487,ABB,company,104000000000000    
488,Andre,politician,382000000000000    
489,Bridgestone,company,143000000000000    
490,Bath VA Medical Center,government,226000000000000    
491,Reinhard Brandl,politician,327000000000000    
492,Keir Starmer,politician,1590000000000000    
493,Life in the Lofthouse,company,133000000000000    
494,Michael Müller,politician,299000000000000    
495,Sydney Weekender,tvshow,104000000000000    
496,National Park Service,government,59420116388    
497,MomentFeed,company,335000000000    
498,Children and Clinical Studies Campaign,government,145000000000    
499,Come Dine With Me,tvshow,162000000000    
500,HEMA,company,210000000000000    
501,Penrith LAC - NSW Police Force,government,211000000000000    
502,Michael Aastrup Jensen,politician,390000000000000    
503,Madwire,company,1450000000000000    
504,Kementerian Kemajuan Luar Bandar dan Wilayah,government,205000000000000    
505,Attorney-General's Department Graduate Program,government,241000000000000    
506,Freshly,company,449000000000000    
507,The Walking Dead,tvshow,110000000000000    
508,Northern Ireland Assembly,government,75655742917    
509,KLM Italia,company,86223357391    
510,Alex Hawke MP,politician,1470000000000000    
511,Danuta Jazłowiecka,politician,128000000000000    
512,Fútbol Picante,tvshow,184000000000000    
513,HERSHEY'S,company,108000000000    
514,US National Weather Service North Platte Nebraska,government,146000000000000    
515,Dame Caroline Spelman MP,politician,568000000000000    
516,Great American Cookies,company,54000790439    
517,National Credit Union Administration,government,107000000000000    
518,Klaus Ernst,politician,86704161022    
519,SM Appliance Center,company,289000000000    
520,AnadoluJet,company,132000000000    
521,DanoneCareers,company,131000000000    
522,União Europeia na Guiné-Bissau,government,479000000000000    
523,Shafi Parambil,politician,183000000000000    
524,USS Gerald R. Ford - CVN 78,government,396000000000000    
525,Maryland Technology Assistance Program,government,100000000000000    
526,Fugueuse,tvshow,412000000000000    
527,Barbara L'Italien,politician,128000000000000    
528,Dr. Sascha Raabe,politician,223000000000    
529,RuPaul's Drag Race All Stars,tvshow,101000000000000    
530,"Charlie Company, 3rd Battalion, 10th Infantry Regiment",government,196000000000000    
531,Niumba,company,109000000000000    
532,Emmanuelle Cosse,politician,1440000000000000    
533,Oikos Greek Yogurt,company,59480081949    
534,Israel Patent Office רשות הפטנטים,government,245000000000000    
535,Marine Le Pen,politician,123000000000000    
536,Israel en Ecuador,government,144000000000000    
537,Educación Municba,government,513000000000000    
538,Danny O'Donnell,politician,73676817966    
539,General Motors México,company,159000000000    
540,TGI Fridays Frozen Snacks,company,242000000000000    
541,Akhilesh Yadav,politician,642000000000000    
542,Oliver Dowden,politician,825000000000000    
543,נחמן שי - Nachman Shai,politician,292000000000000    
544,National Film Archive of India,government,1610000000000000    
545,I Love Lucy,tvshow,155000000000000    
546,NSW SES Barraba Unit,government,1570000000000000    
547,Gap,company,146000000000000    
548,Kementerian Kewangan Malaysia,government,369000000000    
549,Емил Димитриев,politician,253000000000000    
550,Le Meilleur du Hier,tvshow,129000000000000    
551,Embassy of Denmark in Serbia,government,320000000000000    
552,Janine Freeman,politician,115000000000000    
553,Silke Gebel,politician,155000000000000    
554,Gavin Newsom,politician,10128918116    
555,Mitchell,company,179000000000000    
556,Leif Mikkelsen,politician,853000000000000    
557,Nagy József,politician,128000000000000    
558,Acces Direct,tvshow,132000000000000    
559,Ministerio de Agricultura y Riego del Perú,government,186000000000000    
560,US National Weather Service Des Moines Iowa,government,122000000000000    
561,Specsavers Optikko,company,265000000000000    
562,Steven MacKinnon,politician,97640646271    
563,JustFab,company,355000000000000    
564,Herbert Mertin,politician,677000000000000    
565,Kementerian Perindustrian RI,government,1030000000000000    
566,Activia,company,303000000000000    
567,Air Force Space Command,government,78118717073    
568,The Orville,tvshow,127000000000000    
569,KAYAK,company,1960000000000000    
570,Embassy of Belgium in Vietnam,government,844000000000000    
571,Ambasada României în Republica Cehă,government,934000000000000    
572,Governo de Pernambuco,government,140000000000000    
573,The Graham Norton Show BBC America,tvshow,613000000000000    
574,Internet Week New York,company,96546260636    
575,Clémentine Autain,politician,361000000000    
576,The Russell Howard Hour,tvshow,164000000000    
577,Giovanni Toti,politician,1420000000000000    
578,Visitar Israel,government,200000000000000    
579,PosteMobile,company,55933404846    
580,House of Cards,tvshow,490000000000000    
581,Dario Parrini,politician,365000000000000    
582,"House Committee on Science, Space, and Technology",government,101000000000000    
583,Markus Paschke,politician,269000000000000    
584,MasterChef TVNZ 1,tvshow,145000000000    
585,Израиль в Узбекистане - Israel in Uzbekistan,government,172000000000000    
586,Embassy of Switzerland in the Philippines,government,1490000000000000    
587,Deichmann Bosna i Hercegovina,company,1520000000000000    
588,Anna Krupka,politician,131000000000000    
589,Niky Cantard,politician,756000000000000    
590,Verizon Careers,company,13614384845    
591,Polizei Sachsen,government,270000000000000    
592,Virginia Department of Health,government,246000000000000    
593,Filippo Gallinella,politician,319000000000000    
594,Professora Dorinha,politician,291000000000000    
595,Embassy of Belgium in Norway and Iceland,government,186000000000000    
596,Standard Chartered UAE,company,342000000000    
597,Wilfred,tvshow,126000000000000    
598,Superpop,tvshow,386000000000000    
599,Louis Nielsen,company,171000000000000    
600,Marcus Held,politician,476000000000000    
601,Danilo Forte,politician,391000000000000    
602,Jumia,company,291000000000000    
603,Diet Coke,company,8605796091    
604,한국안의 이스라엘,government,165000000000000    
605,IDBI BANK,company,104000000000000    
606,Kelvin Davis,politician,777000000000000    
607,Jet,company,256000000000000    
608,Don't Trust the B in Apt 23,tvshow,181000000000000    
609,Carlos Brandão,politician,491000000000000    
610,L'Oréal Talent,company,265000000000000    
611,Государственная Дума,government,1240000000000000    
612,Riftworld,tvshow,262000000000000    
613,European Parliament in the UK,government,310000000000000    
614,Memphis District Corps of Engineers,government,152000000000000    
615,Journeys,company,81452861215    
616,Juan Fernández SN,politician,626000000000000    
617,Martin Docherty-Hughes MP,politician,1020000000000000    
618,PicPay,company,155000000000000    
619,Henri Guaino,politician,14814041735    
620,Chillicothe VA Medical Center,government,162000000000000    
621,Phil Berger,politician,56158390063    
622,Maryland Department of Public Safety and Correctional Services,government,176000000000    
623,Biblioteca de São Paulo | BSP,government,157000000000000    
